date,p10,p25,p50,p75,p90
2025-08-15,0.270795,0.284976,0.415636,0.449736,0.594915
2025-08-16,0.272146,0.287001,0.416987,0.449736,0.593564
2025-08-17,0.272821,0.294092,0.418169,0.449736,0.592214
2025-08-18,0.272821,0.297130,0.419350,0.449736,0.586812
2025-08-19,0.273834,0.297805,0.420870,0.449736,0.581072
2025-08-20,0.274172,0.299156,0.421714,0.449736,0.576683
2025-08-21,0.274172,0.300506,0.421714,0.447373,0.571281
2025-08-22,0.274172,0.302532,0.421376,0.445010,0.565879
2025-08-23,0.274172,0.303883,0.421376,0.445010,0.560815
2025-08-24,0.272821,0.305908,0.422051,0.445010,0.555750
2025-08-25,0.271133,0.306584,0.423064,0.445010,0.550686
2025-08-26,0.269445,0.307934,0.424077,0.445010,0.545622
2025-08-27,0.269445,0.310635,0.425090,0.445010,0.540220
2025-08-28,0.269445,0.314687,0.425765,0.445010,0.534818
2025-08-29,0.269445,0.319751,0.424752,0.445010,0.530091
2025-08-30,0.269445,0.324478,0.424415,0.446698,0.530429
2025-08-31,0.269445,0.324815,0.424415,0.449061,0.532117
2025-09-01,0.269445,0.329205,0.424752,0.452100,0.537181
2025-09-02,0.270120,0.332243,0.426103,0.456489,0.542245
2025-09-03,0.270120,0.333256,0.427453,0.461553,0.547310
2025-09-04,0.270120,0.340346,0.427791,0.464592,0.552374
2025-09-05,0.270120,0.347099,0.427791,0.466955,0.557439
2025-09-06,0.270120,0.353851,0.429141,0.469994,0.563178
2025-09-07,0.271808,0.361279,0.429141,0.472357,0.568243
2025-09-08,0.273496,0.368707,0.429479,0.474721,0.573307
2025-09-09,0.274847,0.375797,0.429479,0.477759,0.578709
2025-09-10,0.274847,0.378160,0.430829,0.481473,0.584111
2025-09-11,0.274847,0.376810,0.432349,0.484512,0.592214
2025-09-12,0.274847,0.376810,0.433530,0.487550,0.594915
2025-09-13,0.274847,0.378835,0.435050,0.488226,0.594915
2025-09-14,0.274847,0.380861,0.436569,0.490251,0.594915
2025-09-15,0.274847,0.383562,0.437751,0.492277,0.595928
2025-09-16,0.274847,0.388289,0.437920,0.492952,0.596941
2025-09-17,0.274847,0.393353,0.437920,0.493628,0.597616
2025-09-18,0.274172,0.393691,0.438932,0.495653,0.598291
2025-09-19,0.274172,0.393691,0.440452,0.497679,0.599304
2025-09-20,0.274172,0.393691,0.440621,0.497679,0.599642
2025-09-21,0.274172,0.393691,0.441802,0.498017,0.599642
2025-09-22,0.274172,0.391665,0.442984,0.498354,0.599642
2025-09-23,0.274172,0.391665,0.444334,0.498354,0.599642
2025-09-24,0.274172,0.392678,0.444672,0.497679,0.598629
2025-09-25,0.274172,0.397573,0.443322,0.497173,0.594915
2025-09-26,0.274172,0.401794,0.443322,0.497004,0.592214
2025-09-27,0.293079,0.401794,0.443322,0.497004,0.592214
2025-09-28,0.293079,0.401794,0.443322,0.495316,0.592214
2025-09-29,0.293079,0.401794,0.443322,0.492952,0.592214
2025-09-30,0.293079,0.402131,0.443997,0.490589,0.585799
2025-10-01,0.293079,0.404495,0.446360,0.488226,0.583436
2025-10-02,0.293079,0.404495,0.447373,0.485862,0.582760
2025-10-03,0.293079,0.404495,0.448048,0.484174,0.582085
2025-10-04,0.293079,0.404495,0.448048,0.484174,0.582085
2025-10-05,0.293079,0.404495,0.448048,0.484174,0.582085
2025-10-06,0.293079,0.406858,0.448048,0.484174,0.581748
2025-10-07,0.293079,0.407196,0.448386,0.484174,0.578709
2025-10-08,0.293079,0.407196,0.450918,0.484174,0.578709
2025-10-09,0.293079,0.407196,0.452437,0.484174,0.582760
2025-10-10,0.293079,0.407196,0.452437,0.484174,0.583436
2025-10-11,0.293079,0.407196,0.452437,0.484174,0.584786
2025-10-12,0.293079,0.407196,0.452437,0.484174,0.584786
2025-10-13,0.293079,0.407196,0.452437,0.484174,0.585461
2025-10-14,0.293079,0.405845,0.451762,0.484174,0.586812
2025-10-15,0.293079,0.404495,0.449399,0.484174,0.586812
2025-10-16,0.293079,0.403819,0.448555,0.484174,0.586812
2025-10-17,0.293079,0.401794,0.448048,0.484174,0.586812
2025-10-18,0.293079,0.400781,0.447711,0.484174,0.586812
2025-10-19,0.293079,0.399768,0.447711,0.484174,0.585461
2025-10-20,0.293079,0.398417,0.447711,0.484174,0.583098
2025-10-21,0.293079,0.397067,0.445010,0.484174,0.580397
2025-10-22,0.293079,0.395716,0.442646,0.484174,0.577358
2025-10-23,0.293079,0.394704,0.442309,0.484174,0.572294
2025-10-24,0.293079,0.393691,0.441296,0.484174,0.568580
2025-10-25,0.293079,0.392340,0.441296,0.484174,0.563516
2025-10-26,0.293079,0.390990,0.441296,0.484174,0.558451
2025-10-27,0.293079,0.389639,0.441465,0.484174,0.552712
2025-10-28,0.293079,0.389639,0.443659,0.484849,0.547647
2025-10-29,0.293079,0.390990,0.446360,0.485525,0.543934
2025-10-30,0.293079,0.392340,0.449399,0.485525,0.538869
2025-10-31,0.293079,0.393353,0.452269,0.486200,0.538194
2025-11-01,0.293079,0.394366,0.454801,0.486875,0.533467
2025-11-02,0.293079,0.395716,0.457839,0.487550,0.532792
2025-11-03,0.293079,0.397067,0.461216,0.488226,0.532792
2025-11-04,0.293079,0.398417,0.465098,0.488901,0.533467
2025-11-05,0.293079,0.399768,0.468306,0.489576,0.533467
2025-11-06,0.293079,0.400781,0.471682,0.490251,0.538532
2025-11-07,0.293079,0.401794,0.475396,0.490927,0.543596
2025-11-08,0.293079,0.403144,0.478266,0.491602,0.548660
2025-11-09,0.293079,0.405170,0.481135,0.492277,0.553725
2025-11-10,0.293079,0.406520,0.483668,0.492952,0.558789
2025-11-11,0.293079,0.407871,0.484512,0.492952,0.563853
2025-11-12,0.293079,0.407871,0.484512,0.492952,0.569255
2025-11-13,0.293079,0.408546,0.484512,0.493628,0.574657
2025-11-14,0.293079,0.408546,0.484512,0.493628,0.575333
2025-11-15,0.293079,0.408546,0.484512,0.493628,0.580059
2025-11-16,0.293079,0.408546,0.484512,0.493628,0.581410
2025-11-17,0.293079,0.408546,0.484512,0.493628,0.582760
2025-11-18,0.293079,0.408546,0.484512,0.492952,0.585461
2025-11-19,0.293079,0.408546,0.484512,0.492952,0.592214
2025-11-20,0.293079,0.408546,0.484512,0.492952,0.592214
2025-11-21,0.293079,0.409559,0.484512,0.492952,0.592214
2025-11-22,0.293079,0.410572,0.484512,0.492952,0.592214
2025-11-23,0.293079,0.410572,0.484512,0.492952,0.592214
2025-11-24,0.293079,0.411247,0.484512,0.492952,0.592214
2025-11-25,0.293079,0.411754,0.484512,0.492952,0.593733
2025-11-26,0.293079,0.411922,0.484512,0.492952,0.594915
2025-11-27,0.293079,0.411922,0.484512,0.492952,0.596265
2025-11-28,0.293079,0.412598,0.484512,0.492952,0.596941
2025-11-29,0.293079,0.412598,0.484512,0.492952,0.597616
2025-11-30,0.293079,0.412598,0.484512,0.492952,0.598966
2025-12-01,0.293079,0.413273,0.484512,0.492952,0.604706
2025-12-02,0.293079,0.413948,0.484512,0.493628,0.606394
2025-12-03,0.293079,0.413948,0.484512,0.493628,0.607745
2025-12-04,0.294429,0.413948,0.484512,0.493628,0.609095
2025-12-05,0.295104,0.413273,0.484512,0.493628,0.610446
2025-12-06,0.295780,0.412598,0.484512,0.493628,0.610446
2025-12-07,0.296455,0.411922,0.484512,0.493628,0.610446
2025-12-08,0.295780,0.411247,0.484512,0.493628,0.610446
2025-12-09,0.295780,0.410910,0.484512,0.493628,0.610446
2025-12-10,0.296455,0.410572,0.484512,0.493628,0.610446
2025-12-11,0.297468,0.409897,0.484512,0.493628,0.610446
2025-12-12,0.298481,0.409221,0.484512,0.493628,0.610446
2025-12-13,0.298481,0.409221,0.484512,0.493628,0.610446
2025-12-14,0.300506,0.407533,0.484343,0.493628,0.610446
2025-12-15,0.300506,0.405170,0.482824,0.493628,0.610446
